image_path,xmin,ymin,xmax,ymax,label
El_Feija_National_Park_1.PNG,37,11,79,60,Liege
El_Feija_National_Park_1.PNG,21,159,63,208,Liege
El_Feija_National_Park_1.PNG,195,119,246,172,Liege
El_Feija_National_Park_1.PNG,100,59,146,103,Liege
El_Feija_National_Park_1.PNG,95,109,140,147,Liege
El_Feija_National_Park_1.PNG,341,84,389,133,Liege
El_Feija_National_Park_1.PNG,150,307,191,352,Liege
El_Feija_National_Park_1.PNG,181,445,243,502,Liege
El_Feija_National_Park_1.PNG,341,191,379,238,Liege
El_Feija_National_Park_1.PNG,277,205,321,253,Liege
El_Feija_National_Park_1.PNG,400,170,438,221,Liege
El_Feija_National_Park_1.PNG,339,388,383,442,Liege
El_Feija_National_Park_1.PNG,284,397,327,447,Liege
El_Feija_National_Park_1.PNG,197,335,243,386,Liege
El_Feija_National_Park_1.PNG,470,476,509,518,Liege
El_Feija_National_Park_1.PNG,520,445,557,493,Liege
El_Feija_National_Park_1.PNG,563,368,596,411,Liege
El_Feija_National_Park_1.PNG,499,374,538,426,Liege
El_Feija_National_Park_1.PNG,449,285,490,336,Liege
El_Feija_National_Park_1.PNG,359,250,395,297,Liege
El_Feija_National_Park_1.PNG,312,298,360,346,Liege
El_Feija_National_Park_1.PNG,462,18,508,68,Liege
El_Feija_National_Park_1.PNG,513,45,563,104,Liege
El_Feija_National_Park_1.PNG,595,189,633,234,Liege
El_Feija_National_Park_1.PNG,602,241,646,285,Liege
El_Feija_National_Park_1.PNG,621,321,654,360,Liege
El_Feija_National_Park_1.PNG,499,174,545,218,Liege
El_Feija_National_Park_1.PNG,488,221,526,259,Liege
El_Feija_National_Park_1.PNG,512,267,546,305,Liege
El_Feija_National_Park_1.PNG,523,314,560,353,Liege
El_Feija_National_Park_1.PNG,618,128,662,176,Liege
El_Feija_National_Park_1.PNG,666,103,707,149,Liege
El_Feija_National_Park_1.PNG,630,40,682,92,Liege
El_Feija_National_Park_1.PNG,244,326,281,372,Liege
El_Feija_National_Park_1.PNG,578,11,625,54,Liege
El_Feija_National_Park_1.PNG,286,351,315,392,Liege
El_Feija_National_Park_2.PNG,126,106,183,164,Liege
El_Feija_National_Park_2.PNG,49,191,102,247,Liege
El_Feija_National_Park_2.PNG,53,343,95,389,Liege
El_Feija_National_Park_2.PNG,117,419,180,483,Liege
El_Feija_National_Park_2.PNG,303,309,356,374,Liege
El_Feija_National_Park_2.PNG,284,449,337,513,Liege
El_Feija_National_Park_2.PNG,290,133,349,188,Liege
El_Feija_National_Park_2.PNG,186,157,231,208,Liege
El_Feija_National_Park_2.PNG,203,228,242,275,Liege
El_Feija_National_Park_2.PNG,474,107,531,170,Liege
El_Feija_National_Park_2.PNG,494,306,556,370,Liege
El_Feija_National_Park_2.PNG,623,307,678,371,Liege
El_Feija_National_Park_2.PNG,546,191,595,241,Liege
El_Feija_National_Park_2.PNG,414,4,470,53,Liege
El_Feija_National_Park_2.PNG,286,28,322,64,Liege
El_Feija_National_Park_2.PNG,515,510,584,575,Liege
El_Feija_National_Park_2.PNG,497,586,536,625,Liege
El_Feija_National_Park_2.PNG,389,517,445,573,Liege
El_Feija_National_Park_2.PNG,326,520,369,566,Liege
El_Feija_National_Park_2.PNG,609,417,647,468,Liege
El_Feija_National_Park_2.PNG,565,432,607,482,Liege
El_Feija_National_Park_2.PNG,413,281,460,337,Liege
El_Feija_National_Park_2.PNG,381,229,427,278,Liege
El_Feija_National_Park_2.PNG,468,455,520,519,Liege
El_Feija_National_Park_3.PNG,180,91,219,126,Liege
El_Feija_National_Park_3.PNG,458,160,502,199,Liege
El_Feija_National_Park_3.PNG,393,368,429,402,Liege
El_Feija_National_Park_3.PNG,149,295,187,327,Liege
El_Feija_National_Park_3.PNG,293,442,338,484,Liege
El_Feija_National_Park_3.PNG,233,420,278,461,Liege
El_Feija_National_Park_3.PNG,298,339,333,367,Liege
El_Feija_National_Park_3.PNG,355,313,397,340,Liege
El_Feija_National_Park_3.PNG,275,143,317,171,Liege
El_Feija_National_Park_3.PNG,17,63,55,94,Liege
El_Feija_National_Park_3.PNG,430,512,469,546,Liege
El_Feija_National_Park_3.PNG,78,504,123,541,Liege
El_Feija_National_Park_3.PNG,83,546,117,572,Liege
El_Feija_National_Park_3.PNG,126,534,165,566,Liege
El_Feija_National_Park_3.PNG,606,418,644,448,Liege
El_Feija_National_Park_3.PNG,546,489,582,528,Liege
El_Feija_National_Park_3.PNG,696,479,751,531,Liege
El_Feija_National_Park_3.PNG,644,534,679,564,Liege
El_Feija_National_Park_3.PNG,658,467,686,507,Liege
El_Feija_National_Park_3.PNG,617,457,655,495,Liege
El_Feija_National_Park_3.PNG,536,24,571,55,Liege
El_Feija_National_Park_3.PNG,315,388,355,420,Liege
El_Feija_National_Park_3.PNG,276,197,336,233,Liege
El_Feija_National_Park_3.PNG,361,204,390,232,Liege
El_Feija_National_Park_3.PNG,200,224,227,243,Liege
El_Feija_National_Park_3.PNG,170,231,195,252,Liege
El_Feija_National_Park_3.PNG,6,309,34,334,Liege
El_Feija_National_Park_3.PNG,479,24,513,43,Liege
